ID,PIXEL
1,6
2,6
3,8
4,7
5,5
6,4
7,6
8,8
9,4
10,4
11,14
12,37
13,6
14,5
15,5
16,10
17,4
18,5
19,6
20,3
21,5
22,7
23,4
24,5
25,4
26,4
27,4
28,5
29,10
30,3
31,6
32,8
33,20
34,5
35,7
36,7
37,4
38,3
39,5
40,6
41,4
42,6
43,4
44,7
45,6
46,6
47,4
48,5
49,11
50,7
51,4
52,5
53,8
54,10
55,6
56,6
57,7
58,5
59,3
60,4
61,5
62,4
63,8
64,5
65,5
66,3
67,4
68,4
69,5
70,5
71,3
72,4
73,4
74,5
75,5
76,6
77,5
78,6
79,5
80,12
81,4
82,6
83,6
84,6
85,3
86,3
87,3
88,4
89,6
90,6
91,6
92,11
93,3
94,3
95,4
96,4
97,6
98,6
99,5
100,3
101,4
102,16
103,6
104,6
105,3
106,3
107,4
108,3
109,5
110,4
111,7
112,4
113,5
114,6
115,3
116,5
117,3
118,3
119,5
120,8
121,5
122,11
123,3
124,3
125,6
126,3
127,4
128,4
129,3
130,3
131,3
132,4
133,10
134,5
135,3
136,7
137,4
138,5
139,4
140,6
141,7
142,3
143,5
144,11
145,5
146,4
147,4
148,5
149,4
150,6
151,3
152,4
153,4
154,4
155,3
156,3
157,3
158,6
159,4
160,5
161,3
162,4
163,4
164,4
165,3
166,4
167,2
168,3
169,2
170,4
171,2
172,6
173,3
174,6
175,3
176,3
177,5
178,5
179,4
180,2
181,2
182,5
183,2
184,7
185,5
186,5
187,4
188,4
189,4
190,4
191,5
