NAC_ID,VOLUME_ID,URL,PRODUCT_ID,PRODUCT_VERSION_ID,ORBIT_NUMBER,SLEW_ANGLE,MISSION_PHASE_NAME,DATA_QUALITY_ID,START_TIME,STOP_TIME,IMAGE_LINES,LINE_SAMPLES,SAMPLE_BITS,SCALED_PIXEL_WIDTH,SCALED_PIXEL_HEIGHT,RESOLUTION,EMMISSION_ANGLE,INCIDENCE_ANGLE,PHASE_ANGLE,NORTH_AZIMUTH,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SOLAR_DISTANCE,SOLAR_LONGITUDE,CENTER_LATITUDE,CENTER_LONGITUDE,UPPER_RIGHT_LATITUDE,UPPER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_LEFT_LATITUDE,LOWER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_LEFT_LONGITUDE,SPACECRAFT_ALTITUDE,TARGET_CENTER_DISTANCE,ORBIT_NODE,LRO_FLIGHT_DIRECTION
1,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013057/NAC/M1116485466RC.IMG""","""M1116485466RC""","""v1.9""",16760,  -0.006,"""EXTENDED SCIENCE MISSION""",0,"""2013-02-26 02:36:38.54""","""2013-02-26 02:36:50.869""",33792,5064,16,  0.55,  0.59,0.568,1.14,47.62,47.33,94.51,109.44,  1.50,351.89,-44.78,  4.46,148503072.7,108.21,-44.78,  4.50,-45.11,  4.56,-44.45,  4.58,-44.45,  4.46,-45.11,  4.43,  54.70,1792.07,D,+X
2,"""LROLRC_1028""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1028/DATA/ESM2/2016202/NAC/M1223655721RC.IMG""","""M1223655721RC""","""v1.9""",31893,   0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2016-07-20 12:07:34.063""","""2016-07-20 12:07:51.773""",52224,5064,16,  0.39,  0.56,0.472,1.13,45.89,45.62,88.71,108.98, -1.15,348.51,-44.82,  4.45,152384989.5,315.58,-44.82,  4.48,-44.34,  4.48,-45.30,  4.57,-45.30,  4.48,-44.34,  4.39,  38.85,1776.22,D,-X
3,"""LROLRC_1005""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1005/DATA/SCI/2010268/NAC/M140013542RC.IMG""","""M140013542RC""","""v1.9""",5767,   2.000,"""SCIENCE MISSION""",0,"""2010-09-25 00:24:34.691""","""2010-09-25 00:24:52.401""",52224,5064,16,  0.45,  0.55,0.498,3.18,28.0,27.64,95.35,101.41, -1.58,338.47,-29.17,343.38,150423140.5,264.96,-29.17,343.47,-28.69,343.52,-29.64,343.51,-29.64,343.43,-28.69,343.43,  44.85,1782.24,D,-X
4,"""LROLRC_1034""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1034/DATA/ESM3/2018003/NAC/M1269625251LC.IMG""","""M1269625251LC""","""v1.9""",38429,  -0.013,"""THIRD EXTENDED SCIENCE MISSION""",0,"""2018-01-03 13:26:24.120""","""2018-01-03 13:26:44.476""",41984,5064,16,  0.72,  0.77,0.742,1.72,29.99,30.18,91.05,94.82,  0.83,342.89,-29.16,343.62,147433413.3,150.31,-29.15,343.55,-29.69,343.58,-28.63,343.65,-28.62,343.52,-29.68,343.44,  71.69,1809.09,D,+X
5,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012218/NAC/M1098780774RC.IMG""","""M1098780774RC""","""v1.9""",14277,   0.007,"""SCIENCE MISSION""",0,"""2012-08-05 04:38:26.66""","""2012-08-05 04:38:53.323""",52224,5064,16,  0.93,  0.79,0.861,1.17,44.43,43.3,90.14,171.27, -1.49,327.55, -9.47, 11.45,152052176.5,254.14, -9.46, 11.51, -8.77, 11.58,-10.15, 11.60,-10.15, 11.45, -8.78, 11.42,  93.08,1830.37,D,-X
6,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014196/NAC/M1160034837LC.IMG""","""M1160034837LC""","""v1.9""",22884,   0.008,"""EXTENDED SCIENCE MISSION""",0,"""2014-07-15 03:39:30.048""","""2014-07-15 03:40:00.74""",52224,5064,16,  0.88,  0.92,0.897,1.73,46.47,48.18,86.26,171.4, -1.52,325.45, -9.26, 11.60,152338492.1,272.97, -9.27, 11.52, -8.47, 11.57,-10.06, 11.62,-10.06, 11.47, -8.47, 11.42,  87.47,1824.75,D,-X
7,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012299/NAC/M1105837846RC.IMG""","""M1105837846RC""","""v1.9""",15265,  -0.065,"""EXTENDED SCIENCE MISSION""",0,"""2012-10-25 20:56:19.883""","""2012-10-25 20:57:12.958""",52224,5064,16,  1.49,  1.49,1.488,1.2,51.48,50.55,267.74,141.26, -0.63, 50.83, 36.56, 12.55,148991762.7,336.70, 36.56, 12.43, 37.84, 12.23, 35.27, 12.31, 35.28, 12.61, 37.85, 12.54, 149.40,1886.89,A,+X
8,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013111/NAC/M1121160416RC.IMG""","""M1121160416RC""","""v1.9""",17419,   0.008,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-21 05:12:29.254""","""2013-04-21 05:13:16.51""",52224,5064,16,  1.34,  1.34,1.342,1.19,51.63,50.69,270.91,146.86,  0.48, 52.41, 36.55, 12.55,150536102.3,162.60, 36.55, 12.45, 35.39, 12.27, 37.71, 12.34, 37.70, 12.62, 35.38, 12.54, 134.68,1872.17,A,-X
9,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014250/NAC/M1164724196RC.IMG""","""M1164724196RC""","""v1.9""",23543,   2.743,"""EXTENDED SCIENCE MISSION""",0,"""2014-09-07 10:15:29.079""","""2014-09-07 10:16:16.334""",52224,5064,16,  1.33,  1.34,1.337,1.77,38.67,39.17,268.38,101.84, -0.90, 22.31, 36.79, 12.87,151080736.5,325.61, 36.79, 13.02, 37.95, 12.82, 35.63, 12.94, 35.64, 13.21, 37.96, 13.11, 133.28,1870.70,A,+X
10,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015239/NAC/M1195325826RC.IMG""","""M1195325826RC""","""v1.9""",27865,  -0.046,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-08-27 14:42:39.669""","""2015-08-27 14:43:19.931""",49152,5064,16,  1.19,  1.22,1.204,1.21,39.09,38.89,266.33,105.8, -0.75, 24.70, 36.86, 13.28,151462796.9,332.53, 36.85, 13.18, 37.84, 12.99, 35.84, 13.12, 35.85, 13.36, 37.85, 13.24, 119.07,1856.50,A,+X
