PAIR_ID,CRATER_ID,BEFORE_ID,AFTER_ID,BEFORE_H,BEFORE_W
1,1,1,2,22750,500
2,2,3,4,45000,2500
3,3,5,6,12750,1000
4,4,7,8,26500,1750
5,4,6,7,26500,1750
6,5,9,10,40000,3750
7,6,11,12,25750,1500
8,7,13,14,35250,3750
9,8,15,16,12250,1000
10,9,17,18,24750,3000
11,10,19,20,18250,1000
12,11,21,22,6000,3150
13,12,23,24,34800,2250
14,13,25,26,27000,0
15,14,27,28,47750,1250
16,15,29,30,36000,3000
17,16,31,32,40000,500
18,17,33,34,25250,4500
19,18,35,36,43000,2750
20,19,37,38,18500,1000
21,20,39,40,51500,250
22,21,38,41,16500,1250
23,22,42,43,36000,2500
24,23,44,45,5250,250
25,24,46,47,44250,3250
26,25,48,33,29250,3250
27,25,47,33,29250,3250
28,26,49,50,19500,4000
29,27,51,52,25500,3000
30,28,53,54,44250,2750
31,29,55,56,49500,1500
32,30,57,58,6500,3500
33,30,56,57,6500,3500
34,30,56,57,6500,3500
35,30,56,57,6500,3500
36,31,59,60,20250,3750
37,32,61,62,30000,2500
38,33,63,64,34000,2000
39,34,65,66,6250,3000
40,35,67,68,26000,3500
41,36,69,70,11500,500
42,37,71,72,9000,3500
43,38,73,74,12250,1500
44,38,72,73,12250,1500
45,38,72,73,12250,1500
46,38,72,73,12250,1500
47,39,72,75,16250,2750
48,40,76,77,21000,4500
49,41,78,79,6250,4750
50,42,80,81,19250,2250
51,43,82,83,36500,3750
52,44,84,85,500,3250
53,45,86,87,45000,1000
54,46,88,89,41000,4000
55,47,90,91,18750,2750
56,47,89,90,18750,2750
57,48,92,93,38750,4000
58,48,91,92,38750,4000
59,48,91,92,38750,4000
60,49,94,95,37250,3000
61,50,96,97,21750,1000
62,51,98,99,14750,2750
63,52,100,101,21250,1500
64,53,102,103,32500,1750
65,53,101,102,32500,1750
66,54,104,105,15250,2500
67,54,103,104,15250,2500
68,55,106,107,7500,0
69,55,105,106,7500,0
70,56,108,109,42500,1250
71,56,107,108,42500,1250
72,57,110,111,43250,4500
73,58,112,113,2750,3250
74,59,111,112,9750,1250
75,60,114,115,12000,3000
76,60,113,114,12000,3000
77,61,116,117,13750,2250
78,61,115,116,13750,2250
79,62,115,118,37500,3750
80,63,119,120,13000,750
81,64,121,122,26250,2000
82,65,123,124,16250,3500
83,65,122,123,16250,3500
84,65,122,123,16250,3500
85,66,125,126,47250,1750
86,67,127,128,25000,3500
87,68,126,127,50750,500
